Rating,Title,Date,Verified Purchase,Body,Helpful Votes
2.0,Downgraded: I would've keep buying and using these...  Three times the right/left speakers no longer work correctly.,"June 18, 2018",Yes,"I'm downgrading my review of these headphones...Originally I thought these were great.  They sound, fit, and work as a headset in the greatest I could expect for the price.....BUT..I've seriously kept them folded up and in a case whenever I'm not using 99% of the time!..Three times now, for some reason, only one side works!  When using BlueTooth, only the right side works!  When using the stereo jack/plug, only the left side works!..I'm frustrated because they worked great, then I charged them before folding them and putting them in the case for the night.  On a random morning.....!!!POOF!!!..Only the right side works via BlueTooth.  OR Only the left side works with the wire...Update on comfort, I've worn these almost 24 hours straight while traveling via Greyhound, playing audio the whole time.  That part is still great...Original:.Here are the reasons why I bought these:.1. Bluetooth so I can go both hands and wire free to talk and listen to music..2. Price and audio quality.  Other reviewers indicated the price and quality were great.  I agree!.3. Easy hands-free use.  Being able to adjust the volume and switch tracks without pulling out my phone is great!.4. Headset feature.  I love answering the phone and adjusting the volume without taking the phone out of my pocket or belt holster..5. Comfort.  I wear these up to 6 hours at a time. They don't get very sweaty or cause discomfort wearing glasses..6. Wired option.  I like this because if the battery dies (which it hasn't), I can plug them in using a regular audio cable...They are over the ear and fit really well, even wearing glasses.  With my over the ear hearing aids, they're not as great, but I'll usually take those off just to have these on instead...This silver pair are actually the 3rd set of this brand that I have had.  My original red pair had a problem after about 9 months of use.  (Perhaps a wire shorted out from folding it or wearing it while lying on a fluffy pillow?)  The second set started to buzz when I was using it in Bluetooth mode, and the audio quality of the microphone became faint...This time, instead of exchanging them, they refunded the money.  I immediately ordered this pair!..I really recommend buying the hard travel case for these too.  I have always stored my headphones, folded up nicely in the hard case.",15
4.0,I'm definitely a little confused about these being a best seller because I'm assuming that most of the people ...,"May 7, 2018",Yes,"I think the sound quality on this was okay. I'm definitely a little confused about these being a best seller because I'm assuming that most of the people who bought these couldn't care less about the people around them when they wear these. IE: You will be ""that"" person on a plane/bus/work who's music can be heard within a 5' radius to those around them. I wanted to keep these, but I'll be returning them because there's no way I can wear these at my office without driving my coworkers nuts. The overall look/design was fine (but I'm a 5'7 female with average sized ears and my ears barely fit). The sound quality was honestly average - even for the $30 price range though it could be better (but I didn't play with changing the equalizer on my phone - so it might have been better if I tried)...Update: Changed from 2 star to 4 star (the Mpow059 is still not a 4 star)- but customer service was really good and offered to send me the newest version of these headphones (Mpow H1 Bluetooth Headphones Over Ear Lightweight, Comfortable for Prolonged Wearing, Hi-Fi Stereo Wireless Headphones, Foldable Headset w/Built-in Mic and Wired Mode for PC/Cell Phones Black-Red). These are MUCH better than the Mpow 059 ones. The design is sleeker, and the volume doesn't pollute the way the Mpow059 ones do so I've actually been wearing these in my office. They still aren't completely sound pollution proof but I asked my coworker if she could hear my music when it was at just above mid-volume and she couldn't. The diameter is also slightly bigger so my average ears feel snug but not tight like the Mpow059. I would say if you're reading this, don't get the Mpow059 ones, and instead buy the newest model (Mpow H1), which is the same price. Also, the battery life is really good. I haven't charged this since I've got them last week. I've used them for at least 15-20 hours on throughout the week. In regards to phone calls, these aren't for you to be talking on the phone all day. People had a little trouble hearing me, but I was able to answer my call just fine. If you're looking for something to have phone conversations on, you probably need headphones with an actual mic if you want to stay within this price range.",26
1.0,"Liked originally, but regular, loud distortions and interruptions ruin my listening experience","October 3, 2017",Yes,"*UPDATE* March 2018: 1 star.Initially, I really liked these headphones, but now after using them regularly over the past few months, my opinion has totally changed. (see original review below) For the first few months, they worked great, but now I regularly get these VERY loud interruptions to the audio I am listening to. Intermittently, the speakers will produce a VERY loud distortion sound that I can best describe as a combination of fuzzy static and a loud screech. It is always much much louder than whatever I am listening to which is completely jarring, and honestly quite frightening when listening to something quieter/gentler. (It is so unexpected and loud that it has made me physically jump). This is now happening more and more frequently, now occurring multiple times during a listening session (30min - 2hrs)..This issue can't be caused by wear and tear because I have never even dropped my headphones or subjected them to any physical handing that would cause damage. They are either on my ears, or sitting on my desk...I also know that this issue can't be caused by a specific app or my phone, because it consistently occurs with multiple apps while using the headphones and has never occurred with any other bluetooth (or wired) device I have used with my phone..Overall, I am very disappointed with these, especially since I spent a lot of time shopping around and I thought I had finally found a reliable pair of bluetooth headphones...October 2017 Review: 5 stars.Works well. Great sounds. Easy and fast Bluetooth connection. Only complaint is that it's a bit tight on my ears and they get a little sore after awhile",28
1.0,You Definitely Get What You Pay For.,"August 10, 2018",Yes,"First off I'd like to clarify that I am by no means a audiophile, but have had my fair share of headphones in the past. Personally I don't think you should have to pay your months rent for a pair, but if they're too inexpensive it does raise some flags, that being said I do have a few that definitely breaks the mold that you have to pay more to get more. Which is what brought me to these, the mixture of pages of glowing reviews and even articles written by so called audiophiles, plus the price tag I would have been crazy not to jump on them right? I was beside myself with excitement when they arrived, I was going to be the proud owner of budget Beats! As far as looks go they are very aesthetically pleasing, they look nothing like you paid $34.99  that's great. The booklet stated that they needed to be charged for 4 hours before the first listen, it wasn't very long after I had them hooked up, maybe 2 hours if not that long the charging led shut off. It certainly wasn't the full 4 hours, I thought that was pretty odd but didn't put too much into it, the important thing was the sound.Another little cool feature is these headphones have voice commands never seen that on a pair before, now onto the sound. Putting it simple the sound is garbage, the bass if you can consider it as such is so muddy and muffled it almost sounds like the music is coming out of a hole,  I had to turn my volume up to max and even then the sound was still horrendous. Now after all that I have to really wonder about all these beaming reviews, how many are authentic and how many are fabricated, that seems to be an ongoing issue on Amazon, I have learned if you want a truthful review on a product or an unbiased one that points out the bad as well as the good, look up 4 star and below ratings. If I had done so in the beginning I would have had more insight on the performance and been able to make a better thoughtfull purchase. The only pros to these are the look/design and voice command features, quite a few people were upset over the fact they don't seem to last long and have issues with connection, the fact that they seem not to come to a full. 4 hour charge could have meant trouble down the road as well. In this case you definitely get what you pay for.",16
1.0,Wireless connection to phone lasted two months. Now nothing ...,"May 2, 2018",Yes,"Wireless connection to phone lasted two months.  Now nothing.  Can still use it with a cord, but that's not why I bought cordless headphones.  And after about six weeks, the signal became very spotty, so I didn't even get two months full use out of them...UPDATE:  Replacement sent- just another piece of junk which cuts out constantly and requires the use of the cord attachment, rendering them worthless as a replacement for earbuds.  I can imagine that the whole thing will cut out in a few more weeks, just like the first set.  You get what you pay for, I guess.",41
4.0,"Great When Connected Via 3.5mm Audio Cable, Not So Great Sound With Bluetooth","September 1, 2017",Yes,"I just returned some very overpriced, very defective Sony cans, and I'm happy to say that these far less expensive Mpow headphones have them beat in just about every way so far...They're still new, but they're comfy, they fold up for easy storage while still being adjustable in size, come with a nice bag to sleeve them in, and - most importantly - they sound great.....if you're connecting via the included 3.5mm headphone jack...The one place they fall short is in the same area a lot of Bluetooth headphones do.  Music sounds like garbage when dealing with Bluetooth audio compression, and unfortunately, they don't appear to have any tricks on hand to offset this issue.  The net result is that music sounds thin and hollow when playing over wireless.  The difference is huge between Bluetooth vs. 3.5mm connections...All in all, very happy with the purchase.  Just wish they had more ""oomph"" when playing over Bluetooth.  I'll keep them plugged in instead.",10
4.0,"Good sound, but need some breaking in.","September 20, 2017",Yes,"Nice headphones with good sound, but had to adjust them slightly to fit comfortably...When I first got them, they clamped too tightly on my head (which would be great for exercising, but I wear them for hours at a desk). To stretch them out, I put them around a box for a couple nights (the Amazon box they came in) and now they fit comfortably. I also noticed they are more comfortable for my head if I wear them backward (controls on the left side) so the ear pads don't rest on my jaw. They are heavier than headphones without Bluetooth, so my head will tire faster (but that comes with the territory)..For reference: my head is about average for an adult female...My only other complaint is the buttons are a little loud when I click them while wearing the headphones, but not unbearable...All around happy with this purchase after breaking them in a bit.",11
1.0,"4-Month Old Headphones, Inconsistent Sound in Right Ear","May 2, 2018",Yes,"It's been 4 months since I bought these headphones, and the sound in the right ear has recently started going in and out. I have to maneuver the wiring with tape on the left side in order to KEEP the sound in the right ear. My headphones always go out in one ear eventually, but never THIS quickly...October 2018 EDIT: I was sent another pair for free shortly after posting my initial review, but these too are acting up. If the wire gets moved (whenever I move my head in any direction), it can result in static, the sound coming out in only one ear, or silence. Going to have to purchase a different pair of headphones.",9
2.0,Disappointed with audio quality,"October 9, 2017",Yes,"These are the first Bluetooth over the ear headphones I have purchased so I don't have a basis for comparison with other brands or models. The price was good and the fit was fine for me. Wearing comfort was OK but I haven't worn them for an extended period of time due to my issue with the audio quality (below)...Pairing was simple with  my smartphone. Operation with the buttons took a little getting used to but worked fine. I haven't used them enough to comment on battery life...My major complaint with these headphones is the quality of the sound. The audio was just dull sounding to me. Mids and highs were poor and almost sounded muffled. Bass was only OK. I played the same music with a set of recently purchased MPow Bluetooth earbuds and there was no comparison. The earbuds audio was bright and realistic even though they cost about 1/2 the price of the over the ear headphones...Edit 10/10/2017: My original review should have included the comment that for me the major complaint about the audio quality of these headphones is that vocals are coming through sounding muffled or dull and also seem to be at a lower level than the instrumentals on any track I listen to. Instrumental only tracks sound OK...I unfortunately have just missed my 45 day money back return option so I'm stuck with them. I just know I would not purchase this item again or recommend them to others...<a class=""a-link-normal"" data-hook=""product-link-linked"" href=""/Mpow-Bluetooth-Headphones-Over-Ear-Hi-Fi-Stereo-Wireless-Headset-Foldable-Soft-Memory-Protein-Earmuffs-w-Built-in-Mic-and-Wired-Mode-for-PC-Cell-Phones-TV/dp/B072J9CNHH/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Mpow Bluetooth Headphones Over Ear, Hi-Fi Stereo Wireless Headset, Foldable, Soft Memory-Protein Earmuffs, w/ Built-in Mic and Wired Mode for PC/ Cell Phones/ TV</a>",10
1.0,Battery does not charge,"October 8, 2017",Yes,Worked for a couple of months. Now battery stopped charging. Do not waste your money,13
1.0,They are a waste of money,"February 2, 2018",Yes,"These headphones are cheaply made. The first pair I bought, the button to turn them on and off stopped working within the first week. This time around it has stopped working again, and I have had them for about 2 months so I'm unable to return them. They are a waste of money.",30
4.0,I can focus at work again!,"September 19, 2018",Yes,"My office got the redesign and I was the lucky one to have a cube right off the main highway. Immediately, I knew this would be a distraction to me - both hearing everyone enter and exit the office and then having everyone think they can talk to me. So I wanted an over the ear set of headphones that 1) would cancel/block some of the noise, 2) would let people know I was listening to music, 3) had great sound quality, and 4) didn't break the bank. This set was exactly that - and it came in my favorite color, pink!..This set pairs great with my iPod and my iPhone - even better, I was able to figure out how to pair it with my laptop for those late phone-in meetings. That said, I've found that the bluetooth sound quality in phone calls was not as good as the line in, but I think we all understand that issue...The battery lasts a LONG time - I have never had it quit on me (but then, generally, I plug it in during lunch). I don't hear my coworkers nearly so much, but can still hear my desk phone. And people know now that I'm not just ignoring them because I don't like them, I'm listening to music. If there are negatives, they are 1) that the design causes my hair to get caught and and 2) the discomfort on my ears when I wear really dangly earrings...Overall, this set has been fantastic - I never imagined using them for conference calls, but they've worked great! I'm hoping they last a long long time because I like them very much!",5
5.0,Customer service superb....,"August 26, 2017",Yes,Broke after just four months Poor Mechanical  Design....Okay  they sent me a replacement free of charge... I have no other recourse but to give them 5 stars for customer service....it may have been just a fluke that they broke the first time... thank you Mpow.Buy the way the sound quality is real good...,20
4.0,"Great headphones, just a little tight on my ears","June 27, 2017",Yes,"Overall impression, these are great headphones for the price but, perhaps due to the size of my head, I can't wear them for long..SOUND QUALITY: I'm really impressed with these headphones considering the price range they're in.  The sound is crystal clear and they're great at minimizing sound intrusion.  My neighbors were doing some serious construction the other day and I couldn't hear them with these headphones on.  These don't provide a massive bass experience but what you'll hear is the best I've experienced for headphones under $100..FIT:  For starters, I'm 6'2"" and always have a hard time finding head-related gear (think sunglasses, hats) that fits properly.  I don't know why head stuff is so challenging for me.  Maybe I'm an alien, but these are too tight on my head.  The padding, both on the ears and on the top of the head, is great but I can still only stand wearing them for 15-20 minutes at a time before my ears can't take the pressure anymore...BONUS: I didn't realize from the picture but these fold down to a compact size really nicely.  They'll make for great travel headphones!",17
5.0,VERY impressed,"June 29, 2017",Yes,"This is my first experience with bluetooth wireless headphones and I am impress.  I have nightmares about getting my old bluetooth cell phone to pair with the audio in my 07 Camry, but these paired up to my iPhone 7+ immediately.  I also purchased the DayKit Mini USB Bluetooth CSR 4.0 Dual Mode (a steal at under 7 bucks) and the Mpow headphones paired up with my PC instantly.  The sound quality is decent although it won't blow you away with extremes of volume or bass.  For average listening though, they are more than adequate and they are wicked comfortable to wear.  Take them off every hour or so, so your ears can breathe though. .  The ONLY issue I've had, and it's not the fault of the Mpow people is that when I run iTunes on my  Win10 PC it gets way confused and I have to turn Bluetooth off, exit iTunes, then turn Bluetooth back on and restart iTunes.  Since I have other networked devices in the house, iTunes sees them on the network, but it doesn't show them as an option.  I have to select the ""My  Computer"" to get it to work.  A minor inconvenience, but I blame Apple...Bottom line, if you want a very decent pair of really inexpensive, but quality made Bluetooth headphones, give these a try.",9
5.0,Excellent Headphones for Low Cost Bluetooth Solution.,"June 17, 2017",Yes,"I've probably owned 25 different kinds of headphones over the years -- from cheap, cheap to multiple hundred dollars in cost. Expensive ones have broken; cheap ones have held up for a while.  But I still ended up needing a pair of inexpensive, bluetooth headphones to use when watching TV or listening to music while going to sleep.  These were cheap (about $35) but had good reviews so I decided to try them...What a surprise.  Decent sound quality (I'm older and my hearing isn't what it used to be, but they have reasonably solid bass and the frequency response seems smooth to me).  The sound quality isn't what you'll get from really high grade headphones but the build quality is good and it is, after all, being used with an iPhone playing mp3s.  And it is quite an upgrade from using earbuds...I'm pretty sure I could not have gotten a better value for the money.  They are solid and although I've only had for a couple months, I think they're going to hold up well over time.  Pairing is easy and they don't seem to require recharging too frequently...Anyone who has $40 or $50 expectations should be very pleasantly surprised with both the sound and the build quality on these.",8
5.0,Best bang for the buck!! Get bangin!!!!!,"December 7, 2017",Yes,"Not going to lie... i only bought these to hold me off till Corsair makes a better version of the VOID with TRUE surround sound but it turns out these headphones are freaking amazing!! The price, style, colors and comfort are all a grand slam. The battery on this thing is fantastic and it baby sips on the juice. If i had to be critical of these and i don't want to be but i'd have to say the fact the headphones don't twist forwards like all the rest of the traditional headphones. These do fold into a more smaller and portable size which is great but i don't know... I'm really stretching here guys...Very happy with my purchase, Thank you Mpow. I'll gladly buy another pair from you guys...UPDATE: I realized there is no pictures in the reviews for the blue headphones. Maybe these might help... i guess.",8
