Rating,Title,Date,Verified Purchase,Body,Helpful Votes
3.0,Not my favorite Grisham book,"October 28, 2018",Yes,"I've read all of John Grisham's books and this is the only one that I just didn't like. The main plot was interesting but the middle section (the main character's wartime experiences in the Philippines) was way too long and I kept wondering why it was necessary to the story. The ending did tie the story together, but, by the time I got there, I was just glad the book was done. Will go back and reread several of my favorites but this one won't be on that list.",33
2.0,Not Worth My Time To Read: Will be donated immediately,"October 27, 2018",Yes,"This is not a typical John Grisham story. It is very tragic and examines the cultural and psychological aspects of poor communication and perhaps the effects of PTSD in WW2 vets. There’s no happy ending here. The main character is built so that I felt empathy for him, however he brought so much destruction to so many people it is almost impossible to feel any real sympathy for him. The lesson here for me is that actions produce consequences that effect more people than you might imagine. Also communicating well is much more important than actions.",38
1.0,Awful! Worst Grisham Book Ever!,"October 30, 2018",Yes,"Horrible, 400 page LONG and drawn out story. Could have been based on a ten page short story by a freshman in community college. Mr Grisham, please bring back your inventive legal thrillers. Severely disappointed.",23
3.0,Another long march to an unsatisfied ending,"October 27, 2018",No,"I love the thought of John Grisham and his rich Southern characters and the beginning of his books with the anticipation of a very good story.  Then it plods along and instead of developing characters and story it just dies a slow death with an ending that is abrupt or just boring.  I vowed not to read him again after The Confession which just made me mad that I wasted my time.  Obviously, I gave him another chance.. No spoiler alert except to tell readers, yes, you do finally find out the motive but by the time you get to it,  you know nothing could be as bad to justify all the suffering it caused. The best part of the book was the description of the Bataan Death March which was richly woven and worth the read... thus the 3 stars.",44
1.0,Boooring and very tedious,"October 23, 2018",Yes,"This is as depressing a tale as Grisham has ever told.  It all revolves around Pete Banning, heir to a large farm in Mississippi that's been in the family for centuries.  Pete has what's considered a nice life until he joins the war and ends up in a POW camp being tortured for two years.  During that time they break his legs which heal improperly and he endures years of pain.  When he finally escapes and is transported back to the US he has to have his legs broken again to heal them properly.  After months of surgeries and therapies he's so excited to finally be healed enough to have sex wit his wife Liza.  Only she's not interested.  So like any man he gets suspicious.  She tells him a story, that she was pregnant when he left and miscarried.  Since she had three miscarriages before it's believable, but the timing is off.  Pete had a back injury which prevented them from having sex, so her lies start to pile up.  Pete hires a private detective who discovers she made secrets visits to the pastor Dexter Bell.  So he confronts Liza and asks her if she had an affair with Pastor Bell.  She says she did, that she was pregnant with his child, and that the abortion she had caused her to have an infection which made her lose feeling, made her completely lose interest in sex.  Which was a lie.  But he believed her.  She has a nervous breakdown and he commits her to a hospital for care.  But the knowledge that his wife had an affair the two years he was being tortured drives him crazy and he kills Pastor Bell, an innocent man.  Pete is convicted of the murder and executed.  He makes no attempt to defend himself.  Over the next two-three years his two children will fight to keep the farm land that's been in the Banning family for centuries...and they'll lose.  Their mother eventually escapes the hospital and kills herself, but not before telling her secret.  It wasn't Pastor Bell, but the African American grandson of their servants she had the affair with.  Pastor Bell was completely innocent.  He convinced her not to tell anyone about the young man she was being intimate with because in those days he would've been hunted down and hanged.  So what we have here is a woman who lied to save one man and unwittingly condemned another innocent one...As tragic as this story is, it's told in the last four pages of the novel, starting on page 413 of the 417 page novel.  :0.The first 412 pages are incredibly boring.  Most of the middle 200 pages is Pete's view of the war told in narrative with little dialogue.  Most of the last 150 pages are a narrative of the various briefs and courts the lawsuit for the land goes through, more boring...Needless to say this was a very disappointing read.  Won't be picking up another Grisham novel.  ""The Brethren"" was probably his most ingenious plot and I laughed through most of it.  That was the only reason I picked this up.",30
1.0,Very Depressing,"November 3, 2018",Yes,"Wow, Grisham must be really morose.  This book is certain to make the reader dislike humanity.  Long draw out detailed descriptions of POW inhumane treatment, vivid description of electrocution, scoundrels,  liars,  cheaters, cold unfeeling people and misfortunes.  Add to that Grisham's trademark - long drawn out boring court proceedings and legal shenanigans..I had to keep pushing myself to read in hope that there would be some salvation but no joy.  Just a bad ending.",20
1.0,Misrepresented,"November 3, 2018",Yes,"This book was misrepresented.  I would never have bought a book about the Bataan death march.  I had a friend who walked that walk. The whole plot was dumb. The first third was ok.  The second third was for readers who enjoy reading war stories. The third part was a dragged out romance.  The ending lacked something, I don't know what. This book is the last, Mr. Gresham, you have lost a fan.  Amazon, I want my money put back in my gift certificate.",18
3.0,Not up to his usual standards,"October 28, 2018",Yes,"I love John Grisham books and was anxious to read his latest work.  The characters are nicely drawn andyou are pulled into the story and want to keep reading to see how it turns out.  Because it’s John Grisham, you expect some kind of twist or unique reveal that will be the payout for investing so heavily in his characters and their dilemmas.  Unfortunately the book is predictable and leaves you disappointed.  The big secret turns out to be what you expected all along and you feel that it doesn’t ring true to the noble-ness of the main character.  In the end you are left with some enjoyment but not the kind of satisfaction that would make you recommend the book to everyone you know who loves to read.",15
5.0,Grisham. Read &amp; Enjoy,"October 28, 2018",Yes,"A masterful plot construct of “What” followed by “Why” flavored with just a sprinkle of very dark WWII history. At first, I did wonder “Where is this going?” As usual, it led to a thoroughly enjoyable reading experience. Grisham’s characters are so wonderfully created and so believable that empathy is instant. No superheroes. No blatant improbability. Just a very complex journey of the vagaries of life set in the rural south during the ‘40s.",32
1.0,A terrible read. I hated this book.  Quite boring and terrible ending.,"October 31, 2018",Yes,"I have read every John Grisham Novel and this by far the worst.  Spends a great deal of time developing characters that seem to serve no purpose, and book seems to drag on.  This is just a horrible way to treat an honored war veteran that sacrificed so much.  I wished I had never read this book.  Jonh Grisham must thoroughly hate America's war veterans and heroes to think up such a tragic story.  I will make sure I wait after he publishes his next book until the book is thoroughly vetted before purchasing it.  I bought this one pre-release - what a mistake.",16
2.0,Trading on name,"October 28, 2018",Yes,Well written pablum set in WW2. Ending clear from 4th chapter. So disappointing.,25
1.0,"Think adding the ""stuff"" regarding experiences in the WW II was superfluous, not one of my favorites by Gresham. Book dragged on with a fragmented plot. Would not recommend","October 28, 2018",Yes,"Think adding the ""stuff"" regarding experiences in the WW II was superfluous, not one of my favorites by Gresham. Book dragged on with a fragmented plot. Would not recommend .",15
1.0,"Boring, boring, boring","October 29, 2018",Yes,This is agonizing reading but I will not quit.  I should have read reviews before ordering the audible and Kindle versions.  What a waste of money.,15
1.0,and on and on,"October 30, 2018",Yes,"early in the book grisham is recounting the son reflecting on his childhood . it got so tiresome that grisham himself ended the segment by saying ""and on and on""  . and that should be the title of this book  . at best a harlequin short story  . 5% story and 95% filler that went on and on and on  . what a waste !!!!!!",12
5.0,Reckoning,"October 31, 2018",Yes,This is a great book by an equally great author.  Having read many of his books the first section was as expected.  I did not expect a section with the depth of detail about Pete's war experiences.  The third section was even more diverting and I couldn't put the book down.  I am a long time John Grisham fan and this book is at a new level.  For anyone that may have any doubts all I can say is you won't be disappointed.  I highly recommend this for avid fans and as a great introduction to John Grsham's books.,9
2.0,If you are looking for a page turner this isn't it.,"November 5, 2018",Yes,"I really wanted to like this book but after the first section it spiraled downward.  What a tedious and boring read...The Reckoning is written in three sections.  The first section is about the murder for no apparent reason of a well-liked local preacher by the main character, Pete,  a well-respected Clanton, Mississippi war hero .  This takes place in 1947.  The first section is intriguing and leaves the reader with the hopes of a well-written page turner...Unfortunately, the second section of the book which was about  the Bataan Death March on the Philippines and also guerilla warfare there was tedious and boring to read.  A third of the book was about this.  It didn't help matters that I had already read an historical account of the march and also a novel about the march.  Eventually, I began skimming these chapters.  I haven't figured out why this entire section had much to do with the first section of the novel nor did it seem to have anything to do with the third section and the culmination of the story...The third section of the book tries to wrap up the story and explain why Pete did what he did in the first section but it certainly didn't hold much credence to why he would have done what he did.  Also, there was a side story about Pete's son, Joel, and a new love of his life which seemed to have nothing whatsoever to do with the overall plot...The only reason I gave this book a two star rating is that I really could feel the flavor with the writing of post WWII era in Clanton ...The only thing I can figure out is that Mr. Grisham was trying to tell a story that leant itself to the time period of post WWII south in Mississippi and the culture during that time period.  Unfortunately, it was a very boring story.",6
3.0,Mixed feelings,"October 23, 2018",Yes,"This book started out strong. Pete Banning, a respected farmer and war hero, kills his minister without a word of explanation. Banning flatly refuses to reveal his motive or participate in his own defense, and part one of the book focuses on the crime and its aftermath. I read straight through without a break, invested in the characters and drawn into the mystery..Part two almost felt like a different book. It was a flashback section focused on Banning's harrowing experiences during World War II. It included long sections of exposition and history, and while it was interesting, it also felt overly long and a little disconnected..Part three returned to the main story line, primarily concentrating on Banning's family and the difficulties they faced after his trial. I felt more connected to the story than I was in part two, but the pacing was slow and the conflicts not nearly as gripping. In the last few pages, the book offers a very quick resolution that was something of a letdown..Overall, The Reckoning was a worthwhile way to spend an evening, but not something I plan to reread.",8
1.0,BEWARE of SPOILERS in the Customer Reviews.,"October 24, 2018",Yes,"I really hated this book.  I skipped over most of it.  I won't go into why, since another customer review gives away the whole thing.",9
3.0,Disappointing,"November 1, 2018",Yes,"I really have enjoyed John Grisham’s books and eagerly awaited the release of The Reckoning. The part of the book about the Bataan Death March was captivating but that was about it. You knew the family was a mess from the beginning so no surprise it ended up that way. The characters, other than Pete were one dimensional and never really developed. What I did like about the book is it gave a telling and accurate portrayal of life on a southern cotton farm in the early part of the 20th century and the relationships between the whites and blacks. The ending, rather than explosive, was a big puff of smoke. A huge disappointment.",11
5.0,Three great novel which have three great stories,"October 31, 2018",Yes,"I started reading the book and found myself totally unable to take a break while reading it. The novel included excellent and informative fiction which include the South in the forties, WW II action in the Philippines and a murder mystery with a surprise outcome. I highly recommend taking the time to read this great novel.",8
5.0,Fascinating Historical Facts,"October 31, 2018",Yes,"I thoroughly enjoyed reading The Reckoning. And although I had figured out the plot early on, I was shocked by the fate of one of the main characters.  Also fascinating was the author's description of the Bataan Death March during World War II. I'm a history buff and had relatives who had served in that war, ones of who came back with shell shock, known as PTSD today. So this explained a lot for me about his condition.",9
3.0,Not Up To Grisham's Usual High Standards,"October 31, 2018",Yes,"John Grisham is one of my favorite authors--I have read all of his books.  The Reckoning is, for me, a disappointment.  It is comprised of Parts I, II and III.  In Parts I and II, he wanders around verbosely, taking us outside of his normally well scripted and well plotted grooves, even to a way-too-long Bataan Death March, apparently trying to re-create William Faulkner (who appears in Part III).  He gives us the ""secret"" at the end of Part III, leaving, at least me, feeling manipulated and undernourished.  I have a theory about this one.  Like James Patterson, I suggest that Grisham is running out of energy to turn out continuously well written best sellers, so he took on ghost writers who actually wrote these words (they certainly don't have Grisham's usual focus and effective ness), but did not give them credit, as Patterson graciously does.  The result: a John Grisham book which is so-so, boring in way too many places and for way too long, and which is not up to his high standards, his long history, and what he has produced in his long list of best seller books.  C'mon John, get back up there and give us your best.",5
1.0,Not convinced Grisham even wrote this book,"November 10, 2018",Yes,I have read every book this author has published. He is one of my favorites and I looked forward to this new book. Unfortunately it was terrible. I could not get into the story which dragged from the very beginning. The story is disjointed and the characters are shallow and not believable. You will be able to figure out the ending pretty much as soon as the crime occurs. I did - and I skipped the middle third of the book just to get to the end. My opinion is that someone other than Grisham wrote this book and slapped his name on it to meet some contract requirement. Very disappointing and wish I could get my money back. No more pre-ordering this author. I will wait until the book comes out and I see the reviews.,6
1.0,Grisham has lost it,"November 12, 2018",Yes,"That's the last timeI read a Grisham book before seeing the reviews. A tiny so-so plot that drags and drags.  I started skimming after page seventy, and jumped over large portions to get to the end. No happy ending! All went down the tubes. I have read every book Grishan ever wrote, some of them three times. The man has lost it. Adios, John.",7
3.0,The Reckoning,"November 1, 2018",Yes,"I read several Grisham novels early in his career, quit for several years, then tried to get through The Rooster Bar.  I quit reading about halfway through, partly because I didn't care for any of the main characters.  I thought I'd try his latest, The Reckoning, mainly because it takes place in Ford County, where A Time To Kill was set.  I made it to the end, but found only the section concerning WWII really interesting.  There was no doubt you would learn why certain things happened at the book's end, but the story seemed so disjointed, and the characters all pretty one-dimensional, I didn't really care.  These two latest Grisham books weren't up to the standard of his earlier works.",5
1.0,Discouraging,"October 27, 2018",Yes,"The author is an amazing wordsmith, but I did not like this novel..I know the Bataan Death March is important to history, but I could not stand to read all the horrors in the many pages devoted to it..I also gave up reading all the thousand of words describing the miserable legal misfortunes of the main character's family..I have always loved the author's works, but not this one..Definitely not!",6
1.0,Where is the real John Grisham?,"November 3, 2018",Yes,"Closed the cover on my last John Grisham book.  This was not suspenseful but more like trying to walk through quicksand.  If the author wanted to write a book about the Bataan Death March and WWII events he should have done so.  I always give any author a chance to engage me but this one started strong and quickly moved on to many issues that were not, in any way, relevant to the story.  Grisham has always been a great author but his ""glory days"" seem to have passed",6
2.0,"Should have been titled ""Dig a Little Deeper""","October 28, 2018",Yes,"Book droned on and on, did not like any of the characters Pete the killer/husband of Liza the adultress, or their children Stella and Joel.  The book took too long to tell the age old story of pure as the driven snow  white woman has sex with black man and either cries rape or blames an innocent once she's found out.  Instead of black man being lynched, husband kills alleged lover.  OMG it went on and on so much so that I skipped to the very rushed and unsatisfying ending.  I have never read John Grisham before and thought this would be a good book to get a feel for how I might enjoy his other novels.  Not gonna happen.",11
2.0,Might be his weakest novel,"November 2, 2018",Yes,"I finished this book.  I'll give myself credit for that, and John too for his past efforts that convinced me to.  But what the heck was the point of any of this?  Has he ever written a less likable or sympathetic protag than Pete Banning?  Pete, and it's not spoiling to say this I don't think since it's on the cover leaf, shoots and kills the local pastor......for reasons he stubbornly and stupidly refuses to divulge.  To anyone.  The rest of the novel is half aftermath to the shooting, and half flashback to his war days (the novel begins in 1946)...Is it ironic that while the flashback stuff smacks as filler, it's far more interesting than the events of the shooting and onward?  That was the part of the story that grabbed me, and it was really well told.  Had nothing to do with the shooting of course, but it was riveting at times...That said, the only suspense in the story was wondering ""It has to get better, right?  It's John Grisham.""  It's been years since I knew even the basic plot of John's novels ahead of time.  I just get them on day one and start reading, letting myself be surprised.  Not sure if I'll do that next October.  I'm sure I'll buy it, one clunker among 40 is still a great rate of success.  But this was weak.  Two stars because I finished it, and for all the times the books weren't weak.",3
3.0,Very Depressing,"November 5, 2018",Yes,"I own every Grisham book ever written.  But this may be my last one.  Here are the reasons:  1) we all know he’s anti-capital punishment, that’s fine, but enough of sickening tales how it has been abused.  2) this book was depressing in almost every way.  Yes, I was born in 1946, and grew up in Texas in the ‘50s, so I know bad things went on.  But we need to move beyond that and look for good in one another, in order to avoid prolonged hatred.  3) I want to read about how people overcame human misery, not prolong it.  I’m sorry, he’s a great author but this sinks too low for my taste.",5
2.0,Way too long,"October 25, 2018",Yes,"The bulk of this novel is taken up in the middle with war stories. I ended up skipping it because it was so long and tedious, and because I already knew what happened to the main character in the war from reading the first fourth of the book. This whole novel was just so predictable. Grisham is one of my favorite writers, but this one was such a disappointment.",6
1.0,Money Grab by author,"October 27, 2018",Yes,"In reading the first half of the book I had some interest in the story line, reaching the second part it more or less seemed that the story was not coming together as planned and Mr. Grisham  then-reached for his history book and  proceeded to give us a history lesson. Many of us had read of this in History classes in High School. It appears he must have been attempting to rush a novel, that he was contractually obligated to by his Publisher...The whole novel/fiction/history, I found disingenuous. Save your money and effort,refuse to be taken for a fool.",4
1.0,As bad as A Painted House,"October 24, 2018",Yes,"How can a writer of Mr Grisham’s ability put together such a load of absolute rubbish. I really cannot believe I suffered through that boring , depressing and badly written piece of crap. Mr Grisham most readers enjoy something uplifting at some time in a book, my opinion is this is by far your worst effort ever, abysmal is the best way to describe your characters and pathetic is for the story. I thought A Painted House was ordinary and Rooster Bar was the start of your decline but to put your distinguished name to this latest drivel is surprising.",5
5.0,A great tragedy written by an excellent author,"November 9, 2018",Yes,"I read the disappointment from some readers that this book isn't like ""The Firm"", or one of the previous great ""legal thriller's"" Grisham has written.  If that's only what Grisham's work is to you, then go re-read ""The Firm"".  It's still a great read the 2nd time..Grisham is an expert at depicting the conflicting ways of the South's ethics, politics, ethnic differences, and especially in small, deep southern towns, way beyond just another southern legal battle's point of view.  This book is a TRAGEDY, staged in small-town Mississippi immediately following WW II, and really shows the moral and ethical torments and mental decisions made by those living that life and by those rules around them, as decided by that society, and those life-changing decisions expertly described and expressed from several points of view.  The war hero, his wife, sister, kids and his family's century-long ties with loyal black servants.  His up-bringing and that up-bringing's effect on so many decisions and consequences..I found it so much more than just another well written legal thriller, and told by one of the best of America's authors.",5
2.0,Flop,"November 1, 2018",Yes,Not the best Grisham has written. If I could demand a refund I would. I regret wasting my time finishing it.,7
1.0,Very Disappointed,"November 6, 2018",Yes,"Let me start by saying, I love John Grisham’s books.  All are good, some are great.  This book was terrible.  Although the writing itself was good, the story line was slow and boring.  I picked up the book and gave up on reading it three times.  I finally forced myself to finish it and skipped through most of the middle part of the book.  If I wanted to read a book about war, I’d buy something else.  In the end, I was glad to finally know what the motive was, but disappointed it wasn’t more clever.  Usually, Grisham’s books weave an elaborate tale that takes you on a glorious ride, with one or two great surprises.  Not this one, it was dull and plodding.  Sorry John, I hope your next book is better.",3
1.0,Obviously a quick write,"November 2, 2018",Yes,"For this review, Amazon is requiring at least 20 words and I believe that the author was given a similar requirement for this book to get published..For the lot of all this paper and ink, all boiled down might make a tolerable short story. Maybe.",5
1.0,Unfavorable,"November 10, 2018",Yes,"I have long been a fan of Mr. Grisham having read every book he has written. To say I was extremely disappointed in ""The Reckoning: A Novel"" would be a massive understatement. The book reads as if it is a history lesson with very little of an authors' sense of storytelling. In the ""Author's Notes"" Mr. Grisham admits that he ""...stole this story.""..Having wasted $14.95 and several hours of my time it is my opinion that Mr. Grisham should retire from ""writing"" novels. Free his assistants from the mundane task of historical research and allow them to better prosper on their own...Enough said - time to move on to something much more productive.",4
1.0,Don't Waste Your time and money,"November 7, 2018",Yes,"Grisham has written an awful book. Without revealing the plot, I cannot give many details. Suffice it to say that if you are fascinated by death row appeals with no foundation, The Bataan Death March, and the rampant racism of The South post WWII, then this is your book. Otherwise, forget it. I believe I have read every one of his books. The last being ""The Rooster Bar"" which was an intriguing tale and well written. ""The Reckoning"" is light years off the author's successful course of the last 20 years. I wish I had my time back, never mind the money.",3
1.0,Not for me,"October 28, 2018",Yes,"I was so very excited to get Grisham's newest book - what a disappointment!  I choose his books for the characters and story lines.  While the main character is well written, I seriously have no interest in one-third of the book's history lesson on his war experiences.  I will be checking out Grisham's next book from my public library.",4
4.0,Mayhem in Mississippi,"November 6, 2018",Yes,"It’s October 1946 in Clanton, Mississippi.  Our protagonist, Pete Bannon, has eaten breakfast and is heading out to see the preacher, Reverend Dexter Bell.  Pete’s children, Joel and Stella are away in college and his wife, Liza, has been tucked away in a mental institution.  Pete finds the preacher, calmly murders him with his pistol, and is arrested without any resistance.  He is quickly brought to trial and, to his attorney’s amazement, will not plead any defense.  About this time I thought we’d have a trial full of legal maneuvers and Grisham’s fireworks but I was wrong.  Pete is convicted of murder and receives the ultimate sentence.  The one thing missing is motive but Pete will never reveal why he killed Dexter Bell.. All of the foregoing is just the first one third of the book.  Part two harks back to 1925 when Pete is a recent graduate of West Point and meets Liza in Memphis.  They soon get married, have their two children, and settle into civilian life on their large Clanton farm.  But when war arrives in 1941, Pete is recalled to active duty.  He eventually finds himself in the Philippines when his parent unit surrenders to the Japanese and he is one of the many unfortunates in the Bataan death march.  I’ve read other reports of the atrocities committed by the Japanese on this march and Grisham’s prose is both detailed and inspiring.  Pete later escapes from a POW camp and joins other Americans and Fillipinos for many exciting guerrilla actions.  Pete and his cohorts are finally rescued by American soldiers when Douglas MacArthur fulfills his promise to return.  After reading this second part, I wondered what all this contributed to Pete’s story and motivation when he returned to Clanton.. Part three, the final section of this book, jumps forward in time but starts with the aftermath of Pete’s trial for the murder of Reverend Bell.  Another legal action begins with Reverend Bell’s widow suing Joel and Stella for damages caused by the wrongful death of her husband.  Joel is a student in law school and helps the family’s attorney at the trial but the verdict is another terrible event in the lives of Joel, Stella, and their mother Liza.. So, why did Pete murder Reverend Bell?  There is a “reveal” at the book’s end, something that I would have never guessed in a hundred years.  The other feature of this book which puzzled me was its structure.  Why did the narrative bounce back and forth in time instead of being presented on a straight time line?",2
